AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,ManifoldAbsolutePressure,ManifoldAbsolutePressure_entropy,ManifoldAbsolutePressure_complexity,ManifoldAbsolutePressure_fisher,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,IntakeAirTemperature,IntakeAirTemperature_entropy,IntakeAirTemperature_complexity,IntakeAirTemperature_fisher,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher,drivingStyle
-6.30004882,0.5916426839080621,0.3104589870144298,0.5916426839080621,115.0669708,0.4919410319511996,0.2962261616607948,0.4919410319511996,113.9410763,0.2753327812175581,0.2262434063837601,0.2753327812175581,6.999150175,0.3706556346115783,0.275070377574392,0.3706556346115783,-0.6755448,0.7841644191226923,0.1981049741370351,0.7841644191226923,0.895,0.6453646058684696,0.2965292622003713,0.6453646058684696,16.47058868,0.899122733871987,0.1478684305071748,0.899122733871987,141.0,0.7189833201705298,0.2683111590254394,0.7189833201705298,2313.0,0.7814155146298434,0.2337831356720991,0.7814155146298434,20.15999985,0.9141528761223756,0.1168238783812439,0.9141528761223756,18.0,0.5761429495556482,0.3082382777667159,0.5761429495556482,-0.5468,0.7154662472470725,0.2725266376167755,0.7154662472470725,8.937062263,0.3489344815988716,0.2522608249589907,0.3489344815988716,EvenPaceStyle
-5.69995118,0.5933510248450758,0.309608699896479,0.5933510248450758,114.6166153,0.4922258474868701,0.2963828068560384,0.4922258474868701,113.8359924,0.2753751216040563,0.2262774256998139,0.2753751216040563,6.16975087,0.3697209660801435,0.274541671745469,0.3697209660801435,-0.4503555,0.7848206159977076,0.1967407325661906,0.7848206159977076,0.977,0.6445690216582517,0.2970976718089216,0.6445690216582517,0.0,0.8988305708885554,0.1482991374355035,0.8988305708885554,116.0,0.7188508676251137,0.2684584783464125,0.7188508676251137,2288.0,0.7818360280864133,0.2332758034459029,0.7818360280864133,23.25,0.9144333065324244,0.1163118017592449,0.9144333065324244,17.0,0.5762973667893854,0.3082646231645244,0.5762973667893854,-0.539,0.7158504750177443,0.2720097341371895,0.7158504750177443,8.918409348,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-5.30004882,0.5937507457936072,0.3095683712165334,0.5937507457936072,113.0403519,0.4925074451419368,0.296537712418224,0.4925074451419368,113.7158964,0.2754156150519104,0.2263099610450534,0.2754156150519104,5.469377444,0.3697647292940174,0.2745729584016748,0.3697647292940174,-1.5762634,0.7847717669338266,0.196797118749872,0.7847717669338266,0.961,0.6442722064959154,0.297166560675303,0.6442722064959154,25.88235283,0.8987817218246744,0.1483696802331838,0.8987817218246744,116.0,0.7191731164663281,0.268098249380684,0.7191731164663281,2256.0,0.781704105452043,0.2333518533552273,0.781704105452043,24.40999985,0.9144920475750002,0.1162142313433426,0.9144920475750002,18.0,0.5761084346789831,0.3083352905650288,0.5761084346789831,-0.5898,0.7162092854905042,0.2716273606438794,0.7162092854905042,8.906988144,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-4.59997559,0.592414203529852,0.309614623102853,0.592414203529852,111.0137405,0.4927858407524142,0.2966908858074072,0.4927858407524142,113.5770354,0.2754542623709943,0.2263410130711334,0.2754542623709943,5.036384505,0.3689011715580982,0.2740639775169809,0.3689011715580982,-2.0266114,0.7848334699176365,0.1967454394115486,0.7848334699176365,0.996,0.6450604737474823,0.2972522176026313,0.6450604737474823,0.0,0.8996845943586583,0.1471524844738664,0.8996845943586583,117.0,0.7189467365234986,0.2681423872073862,0.7189467365234986,2238.0,0.7812272103892883,0.2333546078554704,0.7812272103892883,20.80999947,0.914664887878592,0.1158731964837956,0.914664887878592,17.0,0.5762160247854401,0.3082762941670276,0.5762160247854401,-0.6367,0.7160844634461934,0.2717053695930453,0.7160844634461934,8.895834923,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-4.29998779,0.5913987095748927,0.3094305842301686,0.5913987095748927,110.3381958,0.4930610498462223,0.2968423343500187,0.4930610498462223,113.4494334,0.2754910643337072,0.2263705823995615,0.2754910643337072,4.866906145,0.3678230538399429,0.2735046782931747,0.3678230538399429,-0.6755447,0.7850147715269336,0.1965073787675525,0.7850147715269336,1.08,0.6457959745737453,0.297353374945782,0.6457959745737453,0.0,0.9005783488909332,0.1459356875703812,0.9005783488909332,116.0,0.7200916244345111,0.2674070874590089,0.7200916244345111,2207.0,0.7802651189877956,0.2337170453782549,0.7802651189877956,24.12999916,0.9150629793592804,0.1154548356416348,0.9150629793592804,18.0,0.5767502159526868,0.3080201104663211,0.5767502159526868,-0.6874,0.7154415256604796,0.2722013045640913,0.7154415256604796,8.885297775,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-3.7000122,0.5913987095748927,0.3094305842301686,0.5913987095748927,108.5367584,0.4917571305589679,0.2968673205364375,0.4917571305589679,113.3255844,0.2755260216750664,0.2263986696217742,0.2755260216750664,5.152879184,0.3679478758842538,0.273533084820956,0.3679478758842538,-1.8014374,0.785514886057248,0.1961758083772042,0.785514886057248,1.14,0.6451403489386489,0.2977247140239553,0.6451403489386489,0.0,0.9005783488909332,0.1459356875703812,0.9005783488909332,115.0,0.7206598922386903,0.2671123696798007,0.7206598922386903,2161.0,0.7793006363418681,0.2340774730541258,0.7793006363418681,24.57999992,0.9154243302229352,0.1150034973904022,0.9154243302229352,18.0,0.5771673909271203,0.3080159076859844,0.5771673909271203,-0.6953,0.7147659242191694,0.2722189508991874,0.7147659242191694,8.874481201,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-3.29998779,0.5913987095748927,0.3094305842301686,0.5913987095748927,106.2849579,0.4904509497874026,0.2968868177165814,0.4904509497874026,113.2129945,0.2755591350927965,0.2264252752992042,0.2755591350927965,5.978785538,0.3691335837088662,0.2740973428477254,0.3691335837088662,-2.2518005,0.7851306582865764,0.1968072998520723,0.7851306582865764,1.2,0.6442138687082034,0.2977102470807069,0.6442138687082034,0.0,0.900446426256563,0.1460472527472858,0.900446426256563,115.0,0.7203388598866562,0.2673540412525486,0.7203388598866562,2122.0,0.7783337818929477,0.2344358846945901,0.7783337818929477,24.07999992,0.9156474502633976,0.1146376160077257,0.9156474502633976,18.0,0.5766235819421582,0.3081847645508588,0.5766235819421582,-0.6015,0.7158128400689608,0.2720126523668297,0.7158128400689608,8.858598709,0.3470807729983047,0.2519488037782911,0.3470807729983047,EvenPaceStyle
-2.70001221,0.5913987095748927,0.3094305842301686,0.5913987095748927,104.7087021,0.4894680116559996,0.2967010999750553,0.4894680116559996,113.1079105,0.2755904052474132,0.2264503999633501,0.2755904052474132,7.111390838,0.3700705006438413,0.2746278916579753,0.3700705006438413,-1.5762558,0.7854561450146721,0.1962513587512991,0.7854561450146721,1.29,0.6436845447671456,0.2975817695375588,0.6436845447671456,0.0,0.90002151603637,0.1462036319732627,0.90002151603637,114.0,0.7199623941361912,0.2673484259969667,0.7199623941361912,2092.0,0.7779036426551991,0.2344226768240457,0.7779036426551991,24.04999924,0.9160714945523262,0.1142035456520766,0.9160714945523262,18.0,0.5766235819421582,0.3081847645508588,0.5766235819421582,-0.457,0.7167085465761486,0.2719419057631032,0.7167085465761486,8.841627121,0.3462298272743375,0.2514721973342925,0.3462298272743375,EvenPaceStyle
-1.89996338,0.5913987095748927,0.3094305842301686,0.5913987095748927,102.9072571,0.4889257819998913,0.2964801634436126,0.4889257819998913,112.9990735,0.2756198327623019,0.2264740441158365,0.2756198327623019,8.63461998,0.3700267374299674,0.2745966263570317,0.3700267374299674,-1.801445,0.785818652390337,0.1960001159754335,0.785818652390337,1.42,0.6437226883153397,0.2975963909680971,0.6437226883153397,0.0,0.8995519329853554,0.1463915995229368,0.8995519329853554,113.0,0.7202369547722616,0.2674160291855048,0.7202369547722616,2055.0,0.7778502213639824,0.2344139499772766,0.7778502213639824,23.42000008,0.9160575974615138,0.114211896866892,0.9160575974615138,18.0,0.5766235819421582,0.3081847645508588,0.5766235819421582,-0.3359,0.7172817521485879,0.2720105943859269,0.7172817521485879,8.824148178,0.3443733729679242,0.2511440080948572,0.3443733729679242,EvenPaceStyle
-1.39996338,0.5913987095748927,0.3094305842301686,0.5913987095748927,100.6554489,0.4891888771881947,0.2966264577812963,0.4891888771881947,112.8527064,0.2756474182237939,0.2264962082284756,0.2756474182237939,10.98029286,0.369980881857865,0.2745638663776593,0.369980881857865,-2.2518082,0.7860096317945195,0.1958331282574146,0.7860096317945195,1.43,0.6437573556910147,0.2976096808666786,0.6437573556910147,0.0,0.8988157683444384,0.1468837241631687,0.8988157683444384,113.0,0.7208266784034008,0.2674997442902267,0.7208266784034008,2008.0,0.7777916796169942,0.2344043938833422,0.7777916796169942,22.92000008,0.9153214328205967,0.114743277756527,0.9153214328205967,18.0,0.5758502947715173,0.3079070429418308,0.5758502947715173,-0.3633,0.7171898028106538,0.2720405092839275,0.7171898028106538,8.806619644,0.3425155554390065,0.2508038667249057,0.3425155554390065,EvenPaceStyle
