ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher,TIMING_ADVANCE_shannon
18.4,0.926768529990347,0.0866975706063014,0.926768529990347,0.1550678557299517,1100.0,0.942997449630216,0.0730209969637633,0.942997449630216,0.0571563325155594,33.0,0.9535678758697972,0.0560170120723993,0.9535678758697972,0.0587562750084585,-5.5,0.9758595438373352,0.0331057598513373,0.9758595438373352,0.0599926456361141,3.47,0.9515537096875908,0.0589522975338244,0.9515537096875908,0.0547009467224822,0.0,0.8568941500478606,0.1548121947777389,0.8568941500478606,0.1335415662029317,18.4,0.9539829328996478,0.0558272830208086,0.9539829328996478,0.0545848388824132,59.2,0.9497965588985526,0.0610370567148829,0.9497965588985526,0.050770770859512
40.0,0.9321691002666092,0.0815869146053157,0.9321691002666092,0.1468727256282337,777.0,0.9450543465576212,0.0706859397978402,0.9450543465576212,0.0530482520129462,57.0,0.9565274058928632,0.0533080003606629,0.9565274058928632,0.0579912975913414,-2.3,0.9758595438373352,0.0331057598513373,0.9758595438373352,0.0569906016188076,4.67,0.9541639809134872,0.0567864905068795,0.9541639809134872,0.0537452365309908,6.0,0.858951046975266,0.1529167315837558,0.858951046975266,0.134308555234022,20.8,0.9571347254955496,0.0530021964493366,0.9571347254955496,0.0521666420498456,52.9,0.9522145675516132,0.058993867910749,0.9522145675516132,0.0508070890502079
50.6,0.9333419989404426,0.0804911601574402,0.9333419989404426,0.1427588590573787,1470.0,0.9476395757803522,0.067352241234988,0.9476395757803522,0.0507354056244384,31.0,0.9608732342480014,0.0484087949510311,0.9608732342480014,0.0527901929353905,3.9,0.9753180224673296,0.033774968197939,0.9753180224673296,0.0600328266999376,10.21,0.9549998255628072,0.055930617371944,0.9549998255628072,0.0540460812911789,1.0,0.8624931623284194,0.1484998661413375,0.8624931623284194,0.1335202566484283,26.7,0.959191622422955,0.0505844527351543,0.959191622422955,0.0477226592790086,57.3,0.9533874662254468,0.0578423848391992,0.9533874662254468,0.0522195649325615
40.0,0.932891669650454,0.0809483819791106,0.932891669650454,0.141140012639797,758.0,0.9469600448722724,0.0682377258552054,0.9469600448722724,0.0523659960830303,53.0,0.9624666128107382,0.0460971251991343,0.9624666128107382,0.0498634239893829,-1.6,0.9745954530834848,0.0344830924075343,0.9745954530834848,0.0609151922642976,4.3,0.9549998255628072,0.055930617371944,0.9549998255628072,0.0557043164157792,6.0,0.8636660610022528,0.1475928630906886,0.8636660610022528,0.1311401306503236,20.8,0.9586501010529492,0.0512317235305908,0.9586501010529492,0.0460144900574602,57.6,0.9555223661581892,0.054923600103248,0.9555223661581892,0.0517969783516306
73.3,0.9319778219957968,0.0822662511253259,0.9319778219957968,0.1412801035049275,1336.0,0.9485534234350091,0.0659951775647722,0.9485534234350091,0.0523659960830303,47.0,0.9624666128107382,0.0460971251991343,0.9624666128107382,0.0506107345898665,0.0,0.9736036024234904,0.0356520758272354,0.9736036024234904,0.0633548027620866,16.83,0.9549998255628072,0.055930617371944,0.9549998255628072,0.0557043164157792,14.0,0.8622886949829274,0.1487830801752035,0.8622886949829274,0.1343306916766264,32.5,0.9586501010529492,0.0512317235305908,0.9586501010529492,0.0460144900574602,58.0,0.9531043575051286,0.0569852449776515,0.9531043575051286,0.0510408642867234
93.3,0.930306440427723,0.084186607284411,0.930306440427723,0.1435323895786756,1441.0,0.9485534234350091,0.0659951775647722,0.9485534234350091,0.0523659960830303,64.0,0.9612455605326532,0.0476641697747607,0.9612455605326532,0.0548307850767907,1.6,0.9742831333315704,0.0347162351224427,0.9742831333315704,0.0596922390907162,20.7,0.9526058746108884,0.0586244750725109,0.9526058746108884,0.0619726242197981,31.0,0.8584070615639149,0.1505182381552404,0.8584070615639149,0.1408861308771363,34.5,0.960027467072275,0.0497181467042647,0.960027467072275,0.0415832843547724,61.6,0.94835918634649,0.0620403566722335,0.94835918634649,0.0517422816349489
18.8,0.9320208604715622,0.0824879807486011,0.9320208604715622,0.1402845010731297,2186.0,0.946792824302602,0.0674148346533148,0.946792824302602,0.0505594685979028,79.0,0.9591106605999108,0.0506180662891286,0.9591106605999108,0.0607206569314171,3.9,0.9749626642396498,0.0337790542696276,0.9749626642396498,0.0540606333751272,6.06,0.9520643532408828,0.0592623351606833,0.9520643532408828,0.0663093805613676,38.0,0.8539790289812347,0.1526203323632854,0.8539790289812347,0.1431987414629723,23.5,0.962612696295006,0.0462692396575019,0.962612696295006,0.0349778588989055,62.4,0.94835918634649,0.0620403566722335,0.94835918634649,0.0517422816349489
95.7,0.9372719435485344,0.0773845078334407,0.9372719435485344,0.1312744571120256,2009.0,0.9442075950798712,0.0707450464146184,0.9442075950798712,0.0501529202587732,72.0,0.9576383235182764,0.052034880966646,0.9576383235182764,0.0605843714774892,-6.2,0.9775478934623808,0.0302302439027142,0.9775478934623808,0.0470125991908222,28.53,0.9550238832639488,0.0565682176752763,0.9550238832639488,0.0658190210452958,48.0,0.8502940852659631,0.1540513433675479,0.8502940852659631,0.1407672587294837,36.5,0.9662517572261516,0.0425791748692746,0.9662517572261516,0.0349820891531691,63.5,0.94835918634649,0.0620403566722335,0.94835918634649,0.0517422816349489
86.7,0.9407713576174564,0.0745095888389585,0.9407713576174564,0.1250905205496091,2511.0,0.944887125987951,0.0698642231596138,0.944887125987951,0.0483463696605212,50.0,0.9576383235182764,0.052034880966646,0.9576383235182764,0.0605843714774892,0.0,0.9810900088155344,0.0245982744344253,0.9810900088155344,0.0415586437554175,32.86,0.9540018754723032,0.0574892422151841,0.9540018754723032,0.0676570315885661,52.0,0.8502940852659631,0.1540513433675479,0.8502940852659631,0.1407672587294837,36.9,0.9667020865161404,0.0420849827003138,0.9667020865161404,0.0327935592758545,67.8,0.94835918634649,0.0620403566722335,0.94835918634649,0.0517422816349489
90.2,0.944102575555685,0.0716957542142815,0.944102575555685,0.1200820830056293,1462.0,0.9436660737098655,0.0713697380866023,0.9436660737098655,0.050085678451302,52.0,0.9537616980257456,0.0565767315929863,0.9537616980257456,0.0657087078609467,1.6,0.981090008815534,0.024598274434426,0.981090008815534,0.03974479530267,17.93,0.9523304939042292,0.0595053680652398,0.9523304939042292,0.0721717863696372,47.0,0.8502940852659632,0.1540513433675467,0.8502940852659632,0.1441025249231193,33.3,0.9679231387942256,0.0405013219071627,0.9679231387942256,0.0287214064791178,69.8,0.9443484375001816,0.0657876554419196,0.9443484375001816,0.0546401266665975
100.0,0.9441025755556852,0.0716957542142815,0.9441025755556852,0.1200820830056293,1331.0,0.9436660737098655,0.0713697380866023,0.9436660737098655,0.050085678451302,60.0,0.9537616980257456,0.056576731592986,0.9537616980257456,0.0649568593154279,7.0,0.9828044288593732,0.0226864813168753,0.9828044288593732,0.0359763618994722,20.24,0.9523304939042292,0.0595053680652398,0.9523304939042292,0.0721717863696372,53.0,0.8526151483410312,0.150924035031581,0.8526151483410312,0.1459997589322114,36.1,0.9679231387942256,0.0405013219071627,0.9679231387942256,0.0287214064791178,54.1,0.9434345898455244,0.0671383329590294,0.9434345898455244,0.0581561946496836
