ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,100.0,1132.0,20.0,3.1,16.28,43.0,33.7,54.9,0.7067188608918727,0.364379441658588,0.7067188608918727
82.0,100.0,1499.0,89.0,4.7,25.58,49.0,40.4,55.3,0.7092620982761979,0.3628666690209535,0.7092620982761979
83.0,100.0,1682.0,82.0,-3.1,27.29,52.0,37.6,58.4,0.7068404434295218,0.3645256183372098,0.7068404434295218
83.0,96.9,1732.0,49.0,1.6,23.58,51.0,34.9,61.6,0.7062213033092748,0.3644684355889904,0.7062213033092748
83.0,17.3,1353.0,56.0,9.4,3.41,35.0,20.4,61.6,0.7103208055858287,0.3628428198222114,0.7103208055858287
83.0,100.0,1193.0,51.0,7.0,20.12,35.0,52.9,53.3,0.7090835606995609,0.3625358753326436,0.7090835606995609
83.0,100.0,1850.0,73.0,-1.6,28.04,44.0,37.3,60.0,0.7105324478568124,0.3624604281217173,0.7105324478568124
83.0,91.0,2228.0,81.0,-0.8,30.29,51.0,36.9,66.7,0.7111259506678812,0.362437234354735,0.7111259506678812
83.0,94.9,2642.0,20.0,0.0,36.56,54.0,38.0,66.7,0.7136294926801589,0.360486109839541,0.7136294926801589
83.0,22.0,881.0,31.0,-2.3,4.35,50.0,21.2,62.7,0.714053395420289,0.3604851847812819,0.714053395420289
83.0,38.0,797.0,70.0,-12.5,4.09,51.0,20.0,55.7,0.7116405474434438,0.3633752724444892,0.7116405474434438
83.0,20.4,1420.0,30.0,1.6,3.45,20.0,20.8,66.7,0.7133902739827492,0.3630474093742994,0.7133902739827492
84.0,39.6,784.0,32.0,-4.7,4.1,0.0,20.4,57.6,0.7133763532690107,0.3630452151475207,0.7133763532690107
84.0,34.1,823.0,30.0,2.3,3.86,0.0,19.6,54.9,0.7144510029781579,0.3628357008387847,0.7144510029781579
84.0,36.9,816.0,33.0,-0.8,3.9,0.0,20.0,58.4,0.7144510029781579,0.3628357008387847,0.7144510029781579
84.0,38.0,786.0,31.0,-2.3,4.11,0.0,20.0,58.4,0.7133763532690107,0.3630452151475207,0.7133763532690107
84.0,36.5,803.0,33.0,-1.6,3.92,0.0,20.0,57.3,0.7103026602281943,0.3643334207036667,0.7103026602281943
83.0,35.7,797.0,32.0,-1.6,4.01,0.0,20.0,58.0,0.7083634525464733,0.364774481778587,0.7083634525464733
83.0,36.1,795.0,32.0,3.9,3.91,0.0,20.0,58.0,0.7064212690719877,0.3665291587497666,0.7064212690719877
83.0,35.3,806.0,31.0,-0.8,3.9,0.0,20.0,60.0,0.7029893097608452,0.3683990896468644,0.7029893097608452
83.0,35.3,791.0,30.0,-2.3,3.96,0.0,20.0,56.9,0.7022709013539903,0.3685085548744514,0.7022709013539903
83.0,35.3,780.0,33.0,3.1,3.89,0.0,20.0,58.8,0.70293360362969,0.3682416048369485,0.70293360362969
83.0,34.9,809.0,57.0,2.3,3.95,6.0,20.0,55.7,0.7026710435064711,0.3692368677485879,0.7026710435064711
83.0,88.2,2431.0,84.0,5.5,7.35,32.0,25.5,63.1,0.70413218373696,0.3688020410881553,0.70413218373696
83.0,18.8,2366.0,71.0,4.7,6.71,44.0,24.3,61.6,0.7064226499992339,0.3686560562025094,0.7064226499992339
83.0,78.8,2293.0,63.0,-9.4,27.37,52.0,35.7,68.2,0.7086460039663053,0.3665909842266778,0.7086460039663053
84.0,20.4,1826.0,49.0,2.3,6.47,53.0,28.2,76.9,0.710150569474158,0.3666912913081369,0.710150569474158
84.0,57.3,1775.0,50.0,-3.1,14.88,54.0,31.4,69.0,0.7102716850085858,0.3666272753081587,0.7102716850085858
84.0,58.0,1815.0,50.0,-3.1,15.67,54.0,31.8,69.0,0.7099714256514023,0.366569765575486,0.7099714256514023
84.0,59.2,1780.0,35.0,-2.3,15.52,51.0,31.4,69.0,0.7090484977021447,0.3665797708337767,0.7090484977021447
84.0,43.1,1682.0,47.0,3.9,10.83,53.0,30.2,71.8,0.7083528599811679,0.3666345615560521,0.7083528599811679
84.0,56.5,1790.0,32.0,-4.7,14.92,56.0,31.4,69.4,0.703649969008503,0.3692498559259767,0.703649969008503
84.0,28.2,1890.0,20.0,0.0,6.68,55.0,23.5,74.9,0.7035915176930297,0.3694440529373848,0.7035915176930297
83.0,34.1,1870.0,27.0,1.6,9.28,58.0,27.8,74.1,0.7022970038361129,0.3696108060315927,0.7022970038361129
83.0,18.8,1921.0,28.0,3.1,5.32,56.0,23.1,67.5,0.6993633007357519,0.3720584097785879,0.6993633007357519
83.0,36.5,1892.0,33.0,1.6,10.44,58.0,29.0,72.9,0.6925665152434696,0.3778106990325475,0.6925665152434696
83.0,40.0,1925.0,26.0,3.1,11.57,58.0,29.8,72.2,0.6922989643868817,0.3777294236818169,0.6922989643868817
82.0,19.2,1934.0,20.0,0.0,5.07,57.0,23.5,63.1,0.6917654777537016,0.3781599667878701,0.6917654777537016
82.0,18.0,1854.0,20.0,0.0,4.99,52.0,23.1,63.5,0.6906262397315011,0.3788150903473116,0.6906262397315011
82.0,38.4,1699.0,39.0,0.0,9.52,50.0,28.2,72.2,0.6903432232868193,0.3788564289291634,0.6903432232868193
82.0,49.0,1659.0,57.0,-7.0,12.0,49.0,29.8,70.2,0.6892958518676735,0.3790717660969221,0.6892958518676735
82.0,70.6,1650.0,55.0,-5.5,17.33,52.0,32.2,67.5,0.6891824042718849,0.3781438915999287,0.6891824042718849
82.0,40.4,1730.0,20.0,-4.7,9.38,48.0,27.1,71.0,0.683362950360667,0.3810824434947341,0.683362950360667
82.0,18.0,1546.0,21.0,0.0,4.1,37.0,21.2,62.7,0.6840609942055303,0.3812571995001452,0.6840609942055303
82.0,22.4,1100.0,30.0,-0.8,3.4,17.0,18.8,56.9,0.6853772116254472,0.3810794038130373,0.6853772116254472
82.0,39.6,793.0,35.0,-2.3,4.06,1.0,20.4,53.7,0.6848547714133506,0.3811613277119262,0.6848547714133506
83.0,40.0,802.0,33.0,1.6,4.39,0.0,20.8,50.6,0.6860619660735651,0.3806068872590673,0.6860619660735651
83.0,32.9,823.0,30.0,1.6,3.8,0.0,19.6,56.5,0.6867861474958417,0.3803996597099732,0.6867861474958417
83.0,36.5,805.0,31.0,-2.3,3.85,0.0,20.0,57.6,0.6864454405732022,0.3804928973197851,0.6864454405732022
83.0,35.7,790.0,31.0,3.9,3.96,0.0,20.0,54.5,0.6880412410904205,0.3803245216336288,0.6880412410904205
83.0,36.1,804.0,56.0,3.1,3.94,4.0,20.0,56.5,0.6902937594338346,0.3802733581140805,0.6902937594338346
83.0,85.9,1202.0,57.0,0.0,16.54,18.0,32.5,51.8,0.6929365973656599,0.3800754357844936,0.6929365973656599
83.0,65.1,1698.0,62.0,-7.0,16.76,30.0,32.5,68.2,0.6959874703635432,0.3781738758379667,0.6959874703635432
82.0,20.0,2384.0,70.0,5.5,7.08,36.0,24.7,74.5,0.6984762129296921,0.3780367481658707,0.6984762129296921
82.0,62.4,1865.0,62.0,0.8,17.41,42.0,32.5,68.6,0.6990008059332585,0.3778818066446072,0.6990008059332585
83.0,87.8,2151.0,21.0,2.3,28.45,48.0,36.1,67.1,0.7026991258847249,0.3763564342663976,0.7026991258847249
83.0,60.0,1605.0,71.0,-3.1,13.95,51.0,31.0,68.6,0.7032868354810015,0.3761923267051664,0.7032868354810015
84.0,60.0,1714.0,20.0,0.0,14.44,48.0,31.0,68.6,0.7023195080883544,0.3760417722865039,0.7023195080883544
84.0,16.9,1395.0,44.0,10.2,3.29,36.0,20.8,61.2,0.7056462279934997,0.3747164322078291,0.7056462279934997
84.0,100.0,1251.0,79.0,9.4,19.5,44.0,35.7,55.3,0.7023863935805054,0.3760659236276278,0.7023863935805054
84.0,95.7,1511.0,68.0,0.0,21.09,51.0,34.5,60.0,0.7026132605220943,0.3759839916614701,0.7026132605220943
84.0,79.6,1718.0,65.0,2.3,20.28,54.0,33.7,65.9,0.7022411210474906,0.376133393297124,0.7022411210474906
84.0,84.7,1842.0,71.0,2.3,23.25,55.0,34.5,65.9,0.702162653535393,0.3761848878422195,0.702162653535393
84.0,85.9,1847.0,66.0,-3.1,23.76,56.0,34.9,65.9,0.7015081401701173,0.3761349332629024,0.7015081401701173
84.0,81.2,1911.0,66.0,3.1,22.75,61.0,34.5,66.7,0.697106896904518,0.3783270120522291,0.697106896904518
84.0,79.2,2077.0,62.0,-2.3,24.7,66.0,34.9,67.5,0.6958647156578746,0.3790381751110515,0.6958647156578746
84.0,59.6,2216.0,18.0,3.1,19.4,66.0,32.9,69.4,0.6970859142969508,0.3783676517332828,0.6970859142969508
84.0,56.1,1810.0,47.0,5.5,15.03,66.0,31.4,70.2,0.6957496874939691,0.3786797208451522,0.6957496874939691
84.0,55.7,1812.0,41.0,-0.8,15.05,67.0,31.4,69.4,0.6920024613220171,0.3794078548476757,0.6920024613220171
84.0,47.1,1829.0,41.0,-0.8,12.95,67.0,30.6,71.0,0.6906432623841279,0.3794271059314604,0.6906432623841279
84.0,47.1,1848.0,41.0,3.9,12.87,69.0,30.6,71.0,0.6895790486695951,0.379282741636166,0.6895790486695951
83.0,41.2,1905.0,22.0,-0.8,11.56,69.0,29.8,71.8,0.6880419390938397,0.3790769782660096,0.6880419390938397
83.0,33.7,1859.0,30.0,6.2,9.34,66.0,27.8,73.7,0.6871573157375133,0.3790555273254691,0.6871573157375133
83.0,33.7,1780.0,41.0,3.1,9.03,61.0,27.5,73.7,0.6861060403275177,0.3793375926515579,0.6861060403275177
83.0,62.7,1649.0,57.0,-4.7,15.16,60.0,31.8,68.6,0.6851893338565092,0.379282401950149,0.6851893338565092
83.0,19.6,1617.0,30.0,3.1,3.57,61.0,21.6,72.5,0.685567932283487,0.3794623296726553,0.685567932283487
83.0,36.1,1698.0,20.0,0.0,9.1,62.0,27.8,63.86206602509441,0.6841660902263048,0.3795332165548868,0.6841660902263048
83.0,17.6,1605.0,21.0,0.0,4.29,49.0,21.6,63.1,0.6840950750778433,0.3798638721340948,0.6840950750778433
82.0,18.4,1327.0,21.0,15.6,3.7,42.0,20.4,61.2,0.6881762072765264,0.376335164501556,0.6881762072765264
82.0,19.6,1155.0,48.0,0.8,3.71,43.0,19.6,60.0,0.6874355309157654,0.3768682427554021,0.6874355309157654
82.0,63.9,1205.0,20.0,-2.3,10.58,35.0,29.0,63.9,0.6860442645570967,0.3770363394429386,0.6860442645570967
82.0,32.9,848.0,37.0,3.1,3.57,16.0,19.6,56.5,0.684018890938676,0.377654258508461,0.684018890938676
82.0,44.7,807.0,36.0,-2.3,4.78,20.0,23.1,56.1,0.6832397311699249,0.3775141932504826,0.6832397311699249
82.0,19.2,1142.0,23.0,-0.8,5.8,23.0,25.9,60.8,0.684001676170777,0.377604931400707,0.684001676170777
