ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,40.4,798.0,34.0,3.1,4.55,3.0,20.8,53.7,0.6731041071974567,0.37873455794048844,0.6731041071974567
82.0,42.7,784.0,70.0,2.3,4.83,4.0,21.2,55.7,0.6759901686018059,0.37841450918358255,0.6759901686018059
82.0,61.6,1052.0,37.0,3.1,10.07,10.0,28.6,52.5,0.6771697957636057,0.3782416793354451,0.6771697957636057
82.0,72.2,1041.0,23.0,3.9,12.2,22.0,30.6,61.6,0.679050597561216,0.3767182100596298,0.679050597561216
81.0,66.7,1082.0,59.0,5.5,11.06,27.0,29.8,64.7,0.6781190216157742,0.376422288359021,0.6781190216157742
81.0,69.0,1438.0,20.0,-3.9,14.98,29.0,31.4,65.5,0.6783822503703166,0.37630843212046533,0.6783822503703166
81.0,52.2,1011.0,33.0,3.1,3.7,23.0,17.6,63.5,0.6775593336783472,0.3762300869590939,0.6775593336783472
81.0,38.0,722.0,52.0,3.1,4.25,19.0,22.0,48.6,0.6780747015578577,0.37629248187007025,0.6780747015578577
82.0,67.8,1739.0,20.0,3.9,19.21,25.0,32.9,67.8,0.6787081830942204,0.37563221447889417,0.6787081830942204
82.0,70.2,1246.0,73.0,5.5,14.67,29.0,31.8,64.7,0.6798575422940518,0.37421586329675105,0.6798575422940518
83.0,87.1,1530.0,70.0,-0.8,19.95,35.0,33.7,63.1,0.6796720592844174,0.37441544929172077,0.6796720592844174
83.0,75.3,1777.0,53.0,-1.6,19.91,37.0,33.7,66.7,0.679665816619219,0.3746850266875116,0.679665816619219
83.0,43.5,1785.0,56.0,-2.3,6.46,33.0,23.1,69.4,0.6784281953856524,0.37484996426434264,0.6784281953856524
83.0,71.4,1093.0,51.0,4.7,11.5,35.0,29.8,62.0,0.6749756824054276,0.376623800569488,0.6749756824054276
83.0,54.5,1185.0,38.0,-1.6,9.48,36.0,27.8,64.7,0.6733383901888226,0.37687309259216434,0.6733383901888226
83.0,26.3,1194.0,32.0,4.7,2.71,36.0,18.4,66.3,0.6810329190039526,0.37277031977751496,0.6810329190039526
83.0,40.4,806.0,33.0,-1.6,4.42,36.0,20.8,54.1,0.6813586626466988,0.3728989884733352,0.6813586626466988
83.0,34.1,804.0,31.0,3.1,4.0,36.0,20.0,58.8,0.6821294805671995,0.37290319764363955,0.6821294805671995
83.0,31.8,805.0,35.0,1.6,4.0,36.0,20.0,58.8,0.6829010117328671,0.3730188042630026,0.6829010117328671
