ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
93.3,1441.0,64.0,1.6,20.7,31.0,34.5,0.8952654572939474,0.1420618158723634,0.8952654572939474,0.098863930836738
18.8,2186.0,79.0,3.9,6.06,38.0,23.5,0.9058067342791956,0.1256550558073389,0.9058067342791956,0.1010554965983543
95.7,2009.0,72.0,-6.2,28.53,48.0,36.5,0.9058067342791956,0.1256550558073392,0.9058067342791956,0.1102576183252078
86.7,2511.0,50.0,0.0,32.86,52.0,36.9,0.9058067342791956,0.1256550558073392,0.9058067342791956,0.1102576183252078
90.2,1462.0,52.0,1.6,17.93,47.0,33.3,0.9076825268334918,0.1239083827130775,0.9076825268334918,0.1125782271329194
100.0,1331.0,60.0,7.0,20.24,53.0,36.1,0.9033003638136522,0.1274071215802235,0.9033003638136522,0.1131400969654249
80.4,1521.0,52.0,-4.7,17.85,61.0,32.5,0.8979938406722571,0.1313526657691106,0.8979938406722571,0.1140333778127024
60.8,1720.0,50.0,-1.6,15.51,66.0,31.8,0.8979938406722571,0.1313526657691106,0.8979938406722571,0.1078712874613891
65.5,1695.0,58.0,2.3,17.36,63.0,32.5,0.8998696332265532,0.129637432506586,0.8998696332265532,0.0996229707800087
58.4,1734.0,48.0,1.6,14.7,64.0,31.4,0.9147930732316408,0.1093794376156393,0.9147930732316408,0.0938594847428375
50.6,1772.0,41.0,-0.8,13.57,65.0,30.6,0.9042517962463928,0.1261674713974645,0.9042517962463928,0.0880866894937436
28.2,1776.0,19.0,0.0,4.54,56.0,21.6,0.909558319387788,0.1221534148634325,0.909558319387788,0.0877315561264194
18.4,1230.0,27.0,10.2,3.53,16.0,19.2,0.9047940320231742,0.1273488782896518,0.9047940320231742,0.0960703929534426
100.0,1187.0,72.0,3.9,16.04,33.0,32.5,0.9047940320231742,0.1273488782896518,0.9047940320231742,0.0997330376456231
88.6,1826.0,71.0,-3.1,23.92,46.0,34.9,0.9004118690033348,0.1308159432792371,0.9004118690033348,0.1033967386951808
63.5,1926.0,41.0,-7.8,17.8,63.0,32.5,0.9004118690033348,0.1308159432792371,0.9004118690033348,0.1155612095514403
45.9,2137.0,33.0,0.0,14.43,64.0,31.0,0.8983759650170311,0.1319917345427052,0.8983759650170311,0.1132711820342677
18.0,1394.0,28.0,7.8,3.39,26.0,20.4,0.8922168510516223,0.1380706453783813,0.8922168510516223,0.1198575476312776
37.3,793.0,31.0,2.3,4.22,0.0,20.0,0.8772934110465345,0.1572505878197367,0.8772934110465345,0.1221753320497083
64.3,1065.0,32.0,2.3,9.78,11.0,28.6,0.8797997815120777,0.1556547167434037,0.8797997815120777,0.1213270707067673
