ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
90.6,2904.0,69.0,-2.3,40.04,39.0,38.0,0.8963770011586953,0.12402050880833769,0.8963770011586953,0.18283599642184323
86.3,2020.0,57.0,-10.9,24.71,43.0,34.5,0.9040297833336263,0.11086690007951654,0.9040297833336263,0.18283599642184323
50.6,2164.0,46.0,-6.2,16.16,45.0,32.2,0.9087940706982399,0.10559007147858097,0.9087940706982399,0.1693741194397562
65.5,2213.0,60.0,-3.1,21.35,49.0,33.7,0.9044119076784004,0.10918291351488243,0.9044119076784004,0.17534751342944363
71.0,2446.0,42.0,2.3,25.9,51.0,34.9,0.9087940706982399,0.10559007147858063,0.9087940706982399,0.16937411943975617
45.9,2516.0,18.0,3.9,17.09,49.0,32.2,0.9164468528731708,0.09207158545389336,0.9164468528731708,0.08928425751745095
27.1,2302.0,61.0,10.9,9.12,44.0,27.8,0.9207301742842836,0.08733063563304283,0.9207301742842836,0.10626454828617579
84.3,2232.0,42.0,0.0,27.48,48.0,35.7,0.9188543817299871,0.08918430518668137,0.9188543817299871,0.11032469921804798
16.9,1247.0,31.0,9.4,3.51,25.0,18.4,0.9291472051487625,0.08019639444845478,0.9291472051487625,0.09659661408795674
60.4,2021.0,68.0,1.6,19.71,36.0,33.7,0.9388253918357357,0.0712577889531184,0.9388253918357357,0.08610920079107255
20.4,2383.0,58.0,-1.6,6.53,42.0,24.3,0.9250134956953959,0.09199230949181239,0.9250134956953959,0.1655454121068694
27.8,2140.0,20.0,0.0,6.35,40.0,23.9,0.9221250008850785,0.09561330978892431,0.9221250008850785,0.16731770183377545
18.4,1742.0,48.0,-1.6,6.29,37.0,26.3,0.9172111015627188,0.09873733474003688,0.9172111015627188,0.17590384429780337
22.7,1858.0,20.0,0.0,5.32,23.0,23.5,0.9098067729542613,0.10386326563910017,0.9098067729542613,0.1871117782369667
21.6,899.0,34.0,3.9,3.76,17.0,20.4,0.9037252816028373,0.10730650959058577,0.9037252816028373,0.19268403402711398
37.6,799.0,32.0,-4.7,3.86,0.0,20.0,0.8923769624836299,0.11600915977865604,0.8923769624836299,0.21786096195939406
39.6,812.0,53.0,-2.3,8.35,12.0,28.6,0.8709122841683593,0.12627257038632084,0.8709122841683593,0.23219292343381712
74.9,2558.0,50.0,1.6,23.91,21.0,29.8,0.8465591110427713,0.1595739000103436,0.8465591110427713,0.26168784080778895
74.1,2112.0,30.0,-4.7,22.81,31.0,32.9,0.8417948236781576,0.16410484966295286,0.8417948236781576,0.26638870383289637
43.5,2664.0,50.0,3.9,8.1,34.0,25.5,0.8947621036399844,0.11058934627736007,0.8947621036399844,0.19118059747390947
61.6,1715.0,47.0,-6.2,15.72,37.0,31.8,0.8947621036399844,0.11058934627736007,0.8947621036399844,0.19118059747390947
27.8,1743.0,20.0,0.0,4.72,26.0,22.0,0.8727880767226552,0.12461480478891085,0.8727880767226552,0.22250493411810665
65.5,1267.0,24.0,6.2,12.1,15.0,29.4,0.8727880767226552,0.12461480478891021,0.8727880767226552,0.2201952411779769
38.8,790.0,35.0,-1.6,4.18,4.0,20.4,0.8727880767226552,0.12461480478891085,0.8727880767226552,0.2125658048546681
39.2,1576.0,58.0,3.9,12.8,23.0,30.2,0.8833293537079038,0.10848904048796933,0.8833293537079038,0.09824463771558203
76.5,2190.0,19.0,-5.5,24.83,35.0,34.9,0.8825281648903873,0.11934523929642735,0.8825281648903873,0.22192969846173846
